Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2015;00:00;01:00;44.600,25;35.955,75;601,5
01.01.2015;01:00;02:00;43.454,75;34.641;346,25
01.01.2015;02:00;03:00;41.963,25;32.909,25;521,75
01.01.2015;03:00;04:00;40.617,75;31.548;1.228,25
01.01.2015;04:00;05:00;39.936,75;30.773,5;1.821,5
01.01.2015;05:00;06:00;39.272,5;30.040,75;2.458,25
01.01.2015;06:00;07:00;37.850,25;28.161,5;2.867,25
01.01.2015;07:00;08:00;38.098,5;27.767,25;2.901,25
01.01.2015;08:00;09:00;38.792,5;28.531,25;2.639,75
01.01.2015;09:00;10:00;41.406,25;30.604,25;1.773,25
01.01.2015;10:00;11:00;44.266,5;31.599,75;1.299,75
01.01.2015;11:00;12:00;47.206,25;32.452,25;708,25
01.01.2015;12:00;13:00;48.502,25;32.201;889,25
01.01.2015;13:00;14:00;47.527,75;31.522,25;813,75
01.01.2015;14:00;15:00;46.772;32.572,5;544
01.01.2015;15:00;16:00;46.733,5;34.137;216
01.01.2015;16:00;17:00;49.116,75;35.484,25;558
01.01.2015;17:00;18:00;53.624,25;38.188,25;318,5
01.01.2015;18:00;19:00;54.305,25;37.437,25;545,25
01.01.2015;19:00;20:00;53.634,5;35.626,5;414
01.01.2015;20:00;21:00;51.435,75;32.254,5;459,75
01.01.2015;21:00;22:00;50.091,75;29.739,25;666,25
01.01.2015;22:00;23:00;50.165,25;28.929,75;425
01.01.2015;23:00;00:00;47.478,25;25.395,25;878,75
02.01.2015;00:00;01:00;44.460,5;21.988,75;2.010,25
02.01.2015;01:00;02:00;42.670,5;19.236;3.152,75
02.01.2015;02:00;03:00;41.735,5;17.487,5;1.963,75
02.01.2015;03:00;04:00;41.656,75;16.623,25;1.849,5
02.01.2015;04:00;05:00;42.468,5;16.747,5;2.319,75
02.01.2015;05:00;06:00;43.863,75;17.691,75;3.171,75
02.01.2015;06:00;07:00;46.318,75;19.963,25;2.133
02.01.2015;07:00;08:00;50.579,25;24.386,5;891,5
02.01.2015;08:00;09:00;54.583,25;27.955,5;572,25
02.01.2015;09:00;10:00;57.713,25;31.526,5;236,25
02.01.2015;10:00;11:00;59.730,75;33.422,5;158,25
02.01.2015;11:00;12:00;61.311,5;34.238,75;130,75
02.01.2015;12:00;13:00;61.503,75;34.135,75;163
02.01.2015;13:00;14:00;60.480,5;32.787;214,75
02.01.2015;14:00;15:00;59.254,25;32.604,75;498,75
02.01.2015;15:00;16:00;58.552,5;33.054;650,25
02.01.2015;16:00;17:00;59.910,25;35.145,75;998
02.01.2015;17:00;18:00;62.960,25;38.658,75;467,5
02.01.2015;18:00;19:00;63.258,75;38.248,5;504,75
02.01.2015;19:00;20:00;61.549;36.766,25;507,25
02.01.2015;20:00;21:00;57.719,5;33.441;448
02.01.2015;21:00;22:00;55.208;30.841,75;1.022,25
02.01.2015;22:00;23:00;53.548,25;29.003;1.310,25
02.01.2015;23:00;00:00;47.877,5;23.251,5;1.850,5
03.01.2015;00:00;01:00;44.219;20.143,25;2.530
03.01.2015;01:00;02:00;41.929,25;18.652,5;2.645,25
03.01.2015;02:00;03:00;40.539,5;18.422,25;2.093,25
03.01.2015;03:00;04:00;40.216,75;19.299,25;1.587,75
03.01.2015;04:00;05:00;40.511,75;20.221;1.635,5
03.01.2015;05:00;06:00;40.922;20.414,25;2.125,25
03.01.2015;06:00;07:00;42.200;20.873,5;2.086,75
03.01.2015;07:00;08:00;44.595,5;22.649,75;2.034
03.01.2015;08:00;09:00;47.848,5;24.795;1.695,25
03.01.2015;09:00;10:00;51.335;27.308;576,75
03.01.2015;10:00;11:00;53.980;29.604,5;469,75
03.01.2015;11:00;12:00;56.019,25;31.089,5;637
03.01.2015;12:00;13:00;56.022,25;31.576,25;244,75
03.01.2015;13:00;14:00;55.898,25;33.569,5;73
03.01.2015;14:00;15:00;54.996;34.945,75;27,25
03.01.2015;15:00;16:00;54.869,75;37.207,75;54,5
03.01.2015;16:00;17:00;57.122;41.063;278,25
03.01.2015;17:00;18:00;60.276,75;44.899;304
03.01.2015;18:00;19:00;60.626,75;46.177,75;232
03.01.2015;19:00;20:00;59.285,25;46.339;368
03.01.2015;20:00;21:00;55.267,25;41.396,75;625,5
03.01.2015;21:00;22:00;52.721,75;37.505,5;719,75
03.01.2015;22:00;23:00;52.364,75;36.553,75;531,25
03.01.2015;23:00;00:00;49.542,25;32.205;1.119,5
04.01.2015;00:00;01:00;46.426;28.561,5;762,5
04.01.2015;01:00;02:00;42.268,5;23.532,25;1.837,75
04.01.2015;02:00;03:00;40.835;21.937;2.347,5
04.01.2015;03:00;04:00;40.213,75;21.248;2.200,75
04.01.2015;04:00;05:00;40.328,5;21.230,25;2.325,5
04.01.2015;05:00;06:00;39.899,25;21.149,25;1.904
04.01.2015;06:00;07:00;39.316,25;20.689,75;2.206,25
04.01.2015;07:00;08:00;41.820;23.825;1.782,75
04.01.2015;08:00;09:00;44.653,25;26.634;1.052
04.01.2015;09:00;10:00;47.858,5;29.636;547,75
04.01.2015;10:00;11:00;51.218,5;31.625,75;302
04.01.2015;11:00;12:00;54.499,75;33.444,25;96,75
04.01.2015;12:00;13:00;54.814;33.386,25;495
04.01.2015;13:00;14:00;53.261,75;32.610,75;871,75
04.01.2015;14:00;15:00;51.518,75;32.979;498,5
04.01.2015;15:00;16:00;51.112,5;35.076,5;119
04.01.2015;16:00;17:00;53.144,25;38.900,25;37,5
04.01.2015;17:00;18:00;57.620,5;43.906;3,75
04.01.2015;18:00;19:00;58.718;44.968;69,75
04.01.2015;19:00;20:00;57.272;43.021,5;577
04.01.2015;20:00;21:00;54.703;40.571;899,5
04.01.2015;21:00;22:00;53.218,25;40.148,75;1.216
04.01.2015;22:00;23:00;53.129,5;40.671,5;749,5
04.01.2015;23:00;00:00;50.046,25;37.593;1.539
05.01.2015;00:00;01:00;46.668;34.347;2.429,25
05.01.2015;01:00;02:00;44.627;32.347,5;2.823
05.01.2015;02:00;03:00;43.635,5;30.975,25;3.629,75
05.01.2015;03:00;04:00;43.683,25;30.920,25;3.438
05.01.2015;04:00;05:00;44.969,25;31.422,25;3.785
05.01.2015;05:00;06:00;48.337;33.484,25;2.593,75
05.01.2015;06:00;07:00;54.207;38.797,75;1.454,5
05.01.2015;07:00;08:00;60.386,75;45.073,25;735,75
05.01.2015;08:00;09:00;63.924,25;48.642;501,5
05.01.2015;09:00;10:00;65.156,75;49.488,5;532
05.01.2015;10:00;11:00;66.469,25;49.841,25;643,75
05.01.2015;11:00;12:00;67.602,25;50.522,5;686,5
05.01.2015;12:00;13:00;67.636;50.648,25;433,75
05.01.2015;13:00;14:00;66.802;51.341;451,25
05.01.2015;14:00;15:00;65.685,5;53.723,25;334,5
05.01.2015;15:00;16:00;64.962;56.969,75;61,25
05.01.2015;16:00;17:00;66.092,75;60.817,75;58,5
05.01.2015;17:00;18:00;69.742,25;65.234,75;11,75
05.01.2015;18:00;19:00;69.720;65.483,75;2,5
05.01.2015;19:00;20:00;67.962;64.038,25;109,75
05.01.2015;20:00;21:00;63.636,5;60.450,75;166,75
05.01.2015;21:00;22:00;60.590;57.952,75;278,25
05.01.2015;22:00;23:00;58.824,25;56.716,25;201,5
05.01.2015;23:00;00:00;54.608;52.798;370,75
06.01.2015;00:00;01:00;51.225,25;49.733,75;1.751,25
06.01.2015;01:00;02:00;48.868,75;47.697,25;2.061,25
06.01.2015;02:00;03:00;47.870,25;46.963;3.184
06.01.2015;03:00;04:00;47.882;47.042,25;2.659,25
06.01.2015;04:00;05:00;48.621,75;47.705,5;2.762,75
06.01.2015;05:00;06:00;50.383,75;49.281,25;2.041,75
06.01.2015;06:00;07:00;54.532,75;53.099,75;529,75
06.01.2015;07:00;08:00;59.774,75;57.982,25;50
06.01.2015;08:00;09:00;62.364;60.000;252
06.01.2015;09:00;10:00;63.721,25;59.044;351,75
06.01.2015;10:00;11:00;65.305,25;57.547;107
06.01.2015;11:00;12:00;66.568,5;56.473;343,5
06.01.2015;12:00;13:00;66.469,75;55.788;436,75
06.01.2015;13:00;14:00;65.354,75;55.230,75;454
06.01.2015;14:00;15:00;63.664,75;55.358,25;237,5
06.01.2015;15:00;16:00;63.218,25;56.475;236,25
06.01.2015;16:00;17:00;64.718,75;57.882;515,5
06.01.2015;17:00;18:00;68.942,75;60.822;293
06.01.2015;18:00;19:00;68.904;59.527,5;683,5
06.01.2015;19:00;20:00;67.558,25;57.983,5;378,75
06.01.2015;20:00;21:00;64.011,75;54.297,5;305
06.01.2015;21:00;22:00;61.251;51.987,5;536,25
06.01.2015;22:00;23:00;58.824;49.158,25;946,25
06.01.2015;23:00;00:00;54.838,75;45.314;1.175,75
07.01.2015;00:00;01:00;51.271,75;42.145;1.522,75
07.01.2015;01:00;02:00;49.121;40.607,25;2.227,25
07.01.2015;02:00;03:00;48.432,25;40.243,75;1.951,5
07.01.2015;03:00;04:00;48.543,5;39.833;2.084
07.01.2015;04:00;05:00;49.565;40.811,5;2.541,25
07.01.2015;05:00;06:00;53.033,75;44.582,25;1.600
07.01.2015;06:00;07:00;60.785,75;52.327,5;393
07.01.2015;07:00;08:00;67.805,25;59.739,5;73,5
07.01.2015;08:00;09:00;70.909,5;63.133,75;15,5
07.01.2015;09:00;10:00;71.157;63.249,5;15,5
07.01.2015;10:00;11:00;72.276,25;63.349,75;37,25
07.01.2015;11:00;12:00;73.371,75;63.082,5;100,5
07.01.2015;12:00;13:00;73.047,5;61.810,75;271,75
07.01.2015;13:00;14:00;72.257,75;60.767,5;91,25
07.01.2015;14:00;15:00;71.100,25;60.970,5;221,75
07.01.2015;15:00;16:00;70.205,25;61.953,25;66,25
07.01.2015;16:00;17:00;70.844,75;63.165;12,25
07.01.2015;17:00;18:00;74.556,75;65.858,5;103
07.01.2015;18:00;19:00;74.243;64.034,5;85,75
07.01.2015;19:00;20:00;72.368;60.986,5;77,75
07.01.2015;20:00;21:00;68.216,75;55.414;78,25
07.01.2015;21:00;22:00;64.957;50.947,5;250,75
07.01.2015;22:00;23:00;62.767;48.206,5;358,5
07.01.2015;23:00;00:00;58.060,25;43.270,25;784,25
08.01.2015;00:00;01:00;54.345,25;39.308,25;977,25
08.01.2015;01:00;02:00;51.967,75;36.161;2.011,25
08.01.2015;02:00;03:00;50.899,75;34.451;2.674,5
08.01.2015;03:00;04:00;51.067,75;34.373;3.257,75
08.01.2015;04:00;05:00;52.169,75;35.382,5;3.085,75
08.01.2015;05:00;06:00;55.033,25;38.282,25;2.447,5
08.01.2015;06:00;07:00;62.761,75;45.266;1.851,5
08.01.2015;07:00;08:00;69.849;51.773,25;246,5
08.01.2015;08:00;09:00;72.621,75;54.526,25;121
08.01.2015;09:00;10:00;72.598;53.975;122
08.01.2015;10:00;11:00;73.541,75;54.364,75;37
08.01.2015;11:00;12:00;74.738,5;55.076,25;5,5
08.01.2015;12:00;13:00;74.060,25;54.749,75;104,25
08.01.2015;13:00;14:00;73.264,5;54.961,5;16,5
08.01.2015;14:00;15:00;72.202,75;54.645;13,25
08.01.2015;15:00;16:00;71.707,5;55.412,25;228
08.01.2015;16:00;17:00;72.123,75;55.358,5;88
08.01.2015;17:00;18:00;74.259;57.284;5,5
08.01.2015;18:00;19:00;73.550,25;55.349,25;400
08.01.2015;19:00;20:00;71.651,5;51.815,5;167
08.01.2015;20:00;21:00;67.289;45.952,75;588
08.01.2015;21:00;22:00;63.730,5;41.159,5;637
08.01.2015;22:00;23:00;61.268;38.521,25;685
08.01.2015;23:00;00:00;56.747,25;33.836,5;1.083,5
09.01.2015;00:00;01:00;52.418,25;29.929,75;2.000,75
09.01.2015;01:00;02:00;50.401,75;28.194;2.250,5
09.01.2015;02:00;03:00;49.398,25;26.814,5;2.785
09.01.2015;03:00;04:00;49.547,75;25.857;3.496,5
09.01.2015;04:00;05:00;51.088,25;26.031,5;3.190
09.01.2015;05:00;06:00;54.445;28.030,5;1.712,5
09.01.2015;06:00;07:00;62.497,5;35.097,25;622,75
09.01.2015;07:00;08:00;69.597,75;41.495,25;35,25
09.01.2015;08:00;09:00;73.224;44.239,5;44
09.01.2015;09:00;10:00;73.594;43.469;6,25
09.01.2015;10:00;11:00;74.310,25;43.581,75;7,25
09.01.2015;11:00;12:00;74.909,75;44.414,5;8,5
09.01.2015;12:00;13:00;74.024,75;43.162,25;92,5
09.01.2015;13:00;14:00;72.353,5;41.447,5;320,5
09.01.2015;14:00;15:00;70.758,5;39.940,5;187,75
09.01.2015;15:00;16:00;70.283,75;39.777;205,5
09.01.2015;16:00;17:00;70.954,75;40.757,25;227,75
09.01.2015;17:00;18:00;73.508,5;43.580,75;13,75
09.01.2015;18:00;19:00;72.683,75;43.827,25;117,75
09.01.2015;19:00;20:00;70.039,5;42.429;32,25
09.01.2015;20:00;21:00;65.414;39.285;137
09.01.2015;21:00;22:00;62.062,5;38.115,75;487,25
09.01.2015;22:00;23:00;59.261,25;37.360,5;212
09.01.2015;23:00;00:00;55.018,25;33.982,5;299,5
10.01.2015;00:00;01:00;51.200,75;31.134,25;840
10.01.2015;01:00;02:00;48.591,75;28.347,75;1.301,25
10.01.2015;02:00;03:00;47.100,5;26.554,5;1.266,75
10.01.2015;03:00;04:00;46.834,25;24.913,25;2.233,5
10.01.2015;04:00;05:00;46.859,75;23.642,75;2.408,25
10.01.2015;05:00;06:00;47.108;22.849,25;2.312,5
10.01.2015;06:00;07:00;48.001;21.837,75;2.155
10.01.2015;07:00;08:00;51.491,25;24.158,5;1.844,75
10.01.2015;08:00;09:00;55.770,5;27.440,75;927,25
10.01.2015;09:00;10:00;58.701,25;29.579,25;324,25
10.01.2015;10:00;11:00;60.664,75;29.675;675
10.01.2015;11:00;12:00;62.659,5;29.011,75;881,75
10.01.2015;12:00;13:00;62.648;27.933;913,25
10.01.2015;13:00;14:00;60.788;27.190,25;886,75
10.01.2015;14:00;15:00;59.083;27.431,75;579,25
10.01.2015;15:00;16:00;58.055,25;28.576,75;323
10.01.2015;16:00;17:00;59.447;30.833,75;244,25
10.01.2015;17:00;18:00;63.194,5;34.888;14,5
10.01.2015;18:00;19:00;63.505,25;35.602,25;0,5
10.01.2015;19:00;20:00;61.438,25;33.900;326,25
10.01.2015;20:00;21:00;57.373,5;30.382,75;148,25
10.01.2015;21:00;22:00;54.883,5;28.470,5;68,5
10.01.2015;22:00;23:00;53.945,75;28.663,5;156
10.01.2015;23:00;00:00;50.776,25;26.062;1.085
11.01.2015;00:00;01:00;47.395;23.217,75;838,25
11.01.2015;01:00;02:00;44.603,25;20.612,5;1.235,75
11.01.2015;02:00;03:00;43.388,75;20.084,25;1.660,5
11.01.2015;03:00;04:00;43.037;19.941,25;1.731,75
11.01.2015;04:00;05:00;43.354,25;19.995,75;1.753,75
11.01.2015;05:00;06:00;43.018,75;19.393,25;1.760
11.01.2015;06:00;07:00;42.242,5;17.601;3.172,5
11.01.2015;07:00;08:00;44.290,75;18.952;2.312
11.01.2015;08:00;09:00;47.378,5;20.941,75;1.753
11.01.2015;09:00;10:00;51.314,75;23.754,25;897
11.01.2015;10:00;11:00;55.013,25;25.310,75;157,5
11.01.2015;11:00;12:00;58.114;26.976,25;193,75
11.01.2015;12:00;13:00;57.924,5;25.639;564,25
11.01.2015;13:00;14:00;56.394,75;24.079,5;942
11.01.2015;14:00;15:00;54.932,25;23.391;652
11.01.2015;15:00;16:00;54.415,25;24.785,5;607,25
11.01.2015;16:00;17:00;55.555,5;27.466,25;637,5
11.01.2015;17:00;18:00;60.255,25;31.932;170,5
11.01.2015;18:00;19:00;61.434,75;33.180,5;157,5
11.01.2015;19:00;20:00;59.925,5;31.583,25;79,25
11.01.2015;20:00;21:00;57.188,75;29.470;355,5
11.01.2015;21:00;22:00;55.632,5;28.889,25;531
11.01.2015;22:00;23:00;55.929,25;30.550,75;322,75
11.01.2015;23:00;00:00;52.576,5;27.779,75;1.279,5
12.01.2015;00:00;01:00;49.291,75;24.711;2.621,5
12.01.2015;01:00;02:00;47.603;23.300;2.917,5
12.01.2015;02:00;03:00;46.880,25;23.565;2.318,5
12.01.2015;03:00;04:00;47.390;24.963,5;3.149
12.01.2015;04:00;05:00;48.761,25;26.588;2.643
12.01.2015;05:00;06:00;53.131,25;30.165,25;1.999,5
12.01.2015;06:00;07:00;62.311,75;37.553;880,5
12.01.2015;07:00;08:00;70.204,75;44.606,5;25,75
12.01.2015;08:00;09:00;73.565;47.326;8,25
12.01.2015;09:00;10:00;73.672,5;46.535,75;46,75
12.01.2015;10:00;11:00;74.856,5;45.574,75;62,25
12.01.2015;11:00;12:00;76.031,25;45.254;14,75
12.01.2015;12:00;13:00;75.872,75;44.608,75;90,25
12.01.2015;13:00;14:00;75.451,5;44.201,75;90
12.01.2015;14:00;15:00;74.054,75;43.649,25;258,5
12.01.2015;15:00;16:00;72.969,5;43.365,25;500,5
12.01.2015;16:00;17:00;73.519,25;44.986,25;217,5
12.01.2015;17:00;18:00;75.482,75;47.568;15,25
12.01.2015;18:00;19:00;75.162;47.393,5;134,75
12.01.2015;19:00;20:00;73.107;45.005,25;214
12.01.2015;20:00;21:00;68.556,75;40.496,5;1.239,25
12.01.2015;21:00;22:00;64.963;37.304,25;1.025,75
12.01.2015;22:00;23:00;62.049,25;35.906,5;576,25
12.01.2015;23:00;00:00;57.335,25;32.927,25;1.377,75
13.01.2015;00:00;01:00;53.165,25;30.393;1.103,75
13.01.2015;01:00;02:00;50.914,5;29.565,75;1.552,25
13.01.2015;02:00;03:00;49.927,75;29.638,25;2.060
13.01.2015;03:00;04:00;50.547;30.388,75;2.588,25
13.01.2015;04:00;05:00;51.935,5;31.009,75;2.421,5
13.01.2015;05:00;06:00;55.228,5;33.234;1.816,5
13.01.2015;06:00;07:00;63.094,25;39.626,75;818,25
13.01.2015;07:00;08:00;70.397,75;45.970,75;2,5
13.01.2015;08:00;09:00;72.562,75;46.673,25;169
13.01.2015;09:00;10:00;72.235,5;43.612,75;485,5
13.01.2015;10:00;11:00;72.871,5;40.660,25;290
13.01.2015;11:00;12:00;73.604,5;39.010,5;346,5
13.01.2015;12:00;13:00;73.716,25;38.868,5;499
13.01.2015;13:00;14:00;72.692,5;40.335,25;155,25
13.01.2015;14:00;15:00;71.290,25;42.567;67,5
13.01.2015;15:00;16:00;70.127;45.631,25;176,5
13.01.2015;16:00;17:00;70.256,75;49.226,75;68,25
13.01.2015;17:00;18:00;73.996;54.201,75;2,5
13.01.2015;18:00;19:00;73.607,5;54.309;1,5
13.01.2015;19:00;20:00;71.057;52.278,75;15,5
13.01.2015;20:00;21:00;66.408,75;48.645;47
13.01.2015;21:00;22:00;62.647,75;44.342,75;328,75
13.01.2015;22:00;23:00;59.992,5;41.553,5;987,25
13.01.2015;23:00;00:00;55.517,25;37.827,75;856
14.01.2015;00:00;01:00;51.243,75;34.680,5;1.839,25
14.01.2015;01:00;02:00;48.856,5;33.116,75;2.959,75
14.01.2015;02:00;03:00;48.128,5;33.427;3.000,75
14.01.2015;03:00;04:00;48.519,25;33.749,5;3.339,5
14.01.2015;04:00;05:00;50.100,5;34.653,5;3.536,5
14.01.2015;05:00;06:00;53.894,25;36.954,25;2.387,5
14.01.2015;06:00;07:00;62.385,5;43.547;1.111,5
14.01.2015;07:00;08:00;69.902,25;48.583,75;275,25
14.01.2015;08:00;09:00;72.396,75;50.162;99,25
14.01.2015;09:00;10:00;71.920,25;48.634;22,5
14.01.2015;10:00;11:00;73.043,25;48.632,5;7,25
14.01.2015;11:00;12:00;74.201,25;49.476,75;367,75
14.01.2015;12:00;13:00;73.402;49.220,5;445
14.01.2015;13:00;14:00;73.092,25;50.877,25;187,25
14.01.2015;14:00;15:00;71.851,25;52.946;24,25
14.01.2015;15:00;16:00;70.853,25;55.293,5;63,75
14.01.2015;16:00;17:00;70.707,25;56.122;33,5
14.01.2015;17:00;18:00;74.057,25;59.691;5,5
14.01.2015;18:00;19:00;73.871,25;59.528,75;6
14.01.2015;19:00;20:00;71.597,25;57.223,75;63,5
14.01.2015;20:00;21:00;67.423,75;52.541;356,25
14.01.2015;21:00;22:00;64.099,75;49.026,25;650
14.01.2015;22:00;23:00;61.513;46.513,5;248,75
14.01.2015;23:00;00:00;57.194;42.527;286,5
15.01.2015;00:00;01:00;53.592,25;39.064,25;1.857,5
15.01.2015;01:00;02:00;51.637,75;36.977,25;2.694,75
15.01.2015;02:00;03:00;50.666;35.278,5;3.054,5
15.01.2015;03:00;04:00;51.026,5;34.146,75;3.435,25
15.01.2015;04:00;05:00;52.215;33.580,25;3.791
15.01.2015;05:00;06:00;55.499;34.959,75;3.212
15.01.2015;06:00;07:00;63.637,5;40.967,25;1.048,5
15.01.2015;07:00;08:00;70.598,75;46.870,25;60,5
15.01.2015;08:00;09:00;73.201,75;48.253,75;60
15.01.2015;09:00;10:00;73.084,25;46.963,25;77
15.01.2015;10:00;11:00;74.064,25;46.095,5;158,75
15.01.2015;11:00;12:00;75.287,25;45.913,75;30,75
15.01.2015;12:00;13:00;74.544,75;44.766;216,75
15.01.2015;13:00;14:00;73.931,5;45.377,25;223
15.01.2015;14:00;15:00;72.712;45.543;96,5
15.01.2015;15:00;16:00;71.896,5;46.011;63,75
15.01.2015;16:00;17:00;71.716,5;46.693,5;97,25
15.01.2015;17:00;18:00;74.481,25;49.736,25;0,5
15.01.2015;18:00;19:00;74.083,5;48.644,5;56,75
15.01.2015;19:00;20:00;72.049,75;45.816;233
15.01.2015;20:00;21:00;67.999,5;42.183;397,25
15.01.2015;21:00;22:00;64.463,25;39.314,75;635
15.01.2015;22:00;23:00;61.610;37.744;449
15.01.2015;23:00;00:00;56.830;33.754;1.671,75
16.01.2015;00:00;01:00;52.827;30.846,25;2.303,25
16.01.2015;01:00;02:00;50.191,75;29.071,75;3.280
16.01.2015;02:00;03:00;48.871,75;27.804;3.215,25
16.01.2015;03:00;04:00;49.643;29.217,5;2.232,75
16.01.2015;04:00;05:00;51.380,5;31.856,75;2.423,75
16.01.2015;05:00;06:00;55.183,75;36.536;2.365,5
16.01.2015;06:00;07:00;63.254;45.724,5;997
16.01.2015;07:00;08:00;70.576,25;54.049,25;4,5
16.01.2015;08:00;09:00;72.791,75;57.069,5;4,25
16.01.2015;09:00;10:00;72.536,75;57.247,75;6
16.01.2015;10:00;11:00;72.852,25;57.290,25;9
16.01.2015;11:00;12:00;73.503,25;58.103;192,75
16.01.2015;12:00;13:00;72.434,5;58.770,75;119
16.01.2015;13:00;14:00;70.921,5;59.567;2,75
16.01.2015;14:00;15:00;69.069;60.751,5;128
16.01.2015;15:00;16:00;67.952,75;62.445,25;34
16.01.2015;16:00;17:00;68.420;64.545,75;144,25
16.01.2015;17:00;18:00;71.996,75;67.868;131,25
16.01.2015;18:00;19:00;71.493;67.173,75;3,5
16.01.2015;19:00;20:00;69.054,25;64.672,75;266,5
16.01.2015;20:00;21:00;64.620,5;60.414,25;421,5
16.01.2015;21:00;22:00;61.090;56.923,75;196,75
16.01.2015;22:00;23:00;58.712,75;54.821,75;141,5
16.01.2015;23:00;00:00;54.691,75;51.025,25;139,75
17.01.2015;00:00;01:00;51.457,25;47.607,5;577
17.01.2015;01:00;02:00;49.145,5;45.011,5;1.316,5
17.01.2015;02:00;03:00;48.089,75;43.554;2.342,5
17.01.2015;03:00;04:00;47.687,75;42.824,5;2.889,75
17.01.2015;04:00;05:00;47.908,75;42.721,25;3.379,25
17.01.2015;05:00;06:00;47.737,5;42.372,5;2.979,5
17.01.2015;06:00;07:00;48.450,75;42.862;1.538,5
17.01.2015;07:00;08:00;52.168,25;46.404;755,5
17.01.2015;08:00;09:00;56.139,5;49.745,25;332
17.01.2015;09:00;10:00;59.469,25;52.374;413,25
17.01.2015;10:00;11:00;61.585,5;53.470;144
17.01.2015;11:00;12:00;62.702,5;53.594,75;124,5
17.01.2015;12:00;13:00;61.693,25;51.976;180,75
17.01.2015;13:00;14:00;59.572,25;49.865,5;624,25
17.01.2015;14:00;15:00;57.594,25;49.182,75;911
17.01.2015;15:00;16:00;56.716,5;50.822,25;185,75
17.01.2015;16:00;17:00;57.596,25;53.115,75;171,5
17.01.2015;17:00;18:00;62.106,5;56.970,5;62,25
17.01.2015;18:00;19:00;63.157,5;56.778,25;300,5
17.01.2015;19:00;20:00;61.099,75;54.190,75;277,25
17.01.2015;20:00;21:00;57.039,5;50.142,75;123
17.01.2015;21:00;22:00;54.798,25;47.434,5;128,25
17.01.2015;22:00;23:00;54.047,25;46.554,25;322
17.01.2015;23:00;00:00;51.037,25;43.769,25;1.723,75
18.01.2015;00:00;01:00;48.037,75;40.722;906,5
18.01.2015;01:00;02:00;46.235,25;38.813,5;1.480,5
18.01.2015;02:00;03:00;44.984,5;37.618,75;2.115,5
18.01.2015;03:00;04:00;44.449,75;36.750;2.299,75
18.01.2015;04:00;05:00;44.237,5;36.400;2.424,25
18.01.2015;05:00;06:00;43.652;35.905;2.398,5
18.01.2015;06:00;07:00;42.943,75;35.355,25;2.701,25
18.01.2015;07:00;08:00;44.769;36.925,25;2.325
18.01.2015;08:00;09:00;47.870,25;40.330;1.057,75
18.01.2015;09:00;10:00;51.544,25;43.010,5;740
18.01.2015;10:00;11:00;54.850,5;44.868;603,75
18.01.2015;11:00;12:00;58.088,75;46.998,25;403,5
18.01.2015;12:00;13:00;57.895,5;46.513,75;352,75
18.01.2015;13:00;14:00;55.462,75;45.299,75;236,25
18.01.2015;14:00;15:00;53.416,75;45.405,75;90
18.01.2015;15:00;16:00;52.623,75;47.286;143,5
18.01.2015;16:00;17:00;53.503;49.994,75;235,25
18.01.2015;17:00;18:00;58.798,25;55.314,75;41,75
18.01.2015;18:00;19:00;60.460,25;56.469,5;1,5
18.01.2015;19:00;20:00;59.281;55.157;229
18.01.2015;20:00;21:00;56.678,25;52.701,25;624,75
18.01.2015;21:00;22:00;55.059,75;51.225,75;433,5
18.01.2015;22:00;23:00;55.553,25;51.946;412,25
18.01.2015;23:00;00:00;52.713;49.335,5;555
19.01.2015;00:00;01:00;49.559,25;46.531,5;1.385,75
19.01.2015;01:00;02:00;47.878,25;45.336,5;2.039,25
19.01.2015;02:00;03:00;47.213,5;45.102,75;1.961,25
19.01.2015;03:00;04:00;47.515;45.769,25;1.972,5
19.01.2015;04:00;05:00;49.084,25;47.659;2.399,5
19.01.2015;05:00;06:00;52.906,25;51.650,5;2.455,25
19.01.2015;06:00;07:00;62.120,75;60.774,75;1.138,25
19.01.2015;07:00;08:00;69.950,5;68.410,75;4
19.01.2015;08:00;09:00;72.507,25;70.584;8
19.01.2015;09:00;10:00;72.884,75;69.867,5;6,75
19.01.2015;10:00;11:00;73.886,25;69.506,75;15,5
19.01.2015;11:00;12:00;74.695,25;69.314;119,75
19.01.2015;12:00;13:00;74.270,25;68.627,75;589,25
19.01.2015;13:00;14:00;73.817,5;68.588,25;236
19.01.2015;14:00;15:00;72.773,25;68.905,75;322,5
19.01.2015;15:00;16:00;72.009;69.761,75;311,25
19.01.2015;16:00;17:00;71.751;70.523,25;125,25
19.01.2015;17:00;18:00;74.871,75;73.684,5;0,5
19.01.2015;18:00;19:00;74.764,25;73.453,75;0,5
19.01.2015;19:00;20:00;72.856,75;71.552;13,5
19.01.2015;20:00;21:00;68.317,75;67.017,25;186,75
19.01.2015;21:00;22:00;64.849,25;63.513,25;307,25
19.01.2015;22:00;23:00;62.029,25;60.675,75;292,75
19.01.2015;23:00;00:00;57.434,75;56.093,75;711,5
20.01.2015;00:00;01:00;54.136,25;52.849,25;1.898,5
20.01.2015;01:00;02:00;52.046,25;50.851,75;3.133,25
20.01.2015;02:00;03:00;51.114;49.937,5;2.889,75
20.01.2015;03:00;04:00;51.547;50.453;2.738,25
